Frame_Number,Clock_Time,Elapsed_Seconds,CAN_ID_Hex,CAN_ID_Dec,DLC,Data_Hex,Data_Byte_0,Data_Byte_1,Data_Byte_2,Data_Byte_3,Data_Byte_4,Data_Byte_5,Data_Byte_6,Data_Byte_7,Is_Extended,Is_RTR
1,23:47:48.538,15.062099,0x123,291,8,00 01 AA BB CC DD EE FF,0x00,0x01,0xAA,0xBB,0xCC,0xDD,0xEE,0xFF,False,False
2,23:47:49.539,16.062954,0x123,291,8,00 02 AA BB CC DD EE FF,0x00,0x02,0xAA,0xBB,0xCC,0xDD,0xEE,0xFF,False,False
3,23:47:50.540,17.063685,0x123,291,8,00 03 AA BB CC DD EE FF,0x00,0x03,0xAA,0xBB,0xCC,0xDD,0xEE,0xFF,False,False
4,23:47:51.541,18.064926,0x123,291,8,00 04 AA BB CC DD EE FF,0x00,0x04,0xAA,0xBB,0xCC,0xDD,0xEE,0xFF,False,False
5,23:47:52.542,19.066610,0x123,291,8,00 05 AA BB CC DD EE FF,0x00,0x05,0xAA,0xBB,0xCC,0xDD,0xEE,0xFF,False,False
6,23:47:53.544,20.067785,0x123,291,8,00 06 AA BB CC DD EE FF,0x00,0x06,0xAA,0xBB,0xCC,0xDD,0xEE,0xFF,False,False
7,23:47:54.544,21.068460,0x123,291,8,00 07 AA BB CC DD EE FF,0x00,0x07,0xAA,0xBB,0xCC,0xDD,0xEE,0xFF,False,False
8,23:47:55.546,22.069739,0x123,291,8,00 08 AA BB CC DD EE FF,0x00,0x08,0xAA,0xBB,0xCC,0xDD,0xEE,0xFF,False,False
9,23:47:56.546,23.070547,0x123,291,8,00 09 AA BB CC DD EE FF,0x00,0x09,0xAA,0xBB,0xCC,0xDD,0xEE,0xFF,False,False
10,23:47:57.547,24.071019,0x123,291,8,00 0A AA BB CC DD EE FF,0x00,0x0A,0xAA,0xBB,0xCC,0xDD,0xEE,0xFF,False,False
11,23:47:58.548,25.071990,0x123,291,8,00 0B AA BB CC DD EE FF,0x00,0x0B,0xAA,0xBB,0xCC,0xDD,0xEE,0xFF,False,False
12,23:47:59.549,26.072699,0x123,291,8,00 0C AA BB CC DD EE FF,0x00,0x0C,0xAA,0xBB,0xCC,0xDD,0xEE,0xFF,False,False
13,23:48:00.549,27.073213,0x123,291,8,00 0D AA BB CC DD EE FF,0x00,0x0D,0xAA,0xBB,0xCC,0xDD,0xEE,0xFF,False,False
14,23:48:01.550,28.074027,0x123,291,8,00 0E AA BB CC DD EE FF,0x00,0x0E,0xAA,0xBB,0xCC,0xDD,0xEE,0xFF,False,False
15,23:48:02.551,29.074977,0x123,291,8,00 0F AA BB CC DD EE FF,0x00,0x0F,0xAA,0xBB,0xCC,0xDD,0xEE,0xFF,False,False
